source_path,source_full_url,parsed_name,parsed_city,parsed_specialty,best_candidate,candidate_address,navoria_target_url,match_score,second_best_score,status
/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,https://rzte-online.vercel.app/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,wolfgang arand erfurt,erfurt,hausarzt,Praxis für Allgemeinmedizin Wolfgang Arand,"Wilhelm-Busch-Straße 13, 99099 Erfurt-Daberstedt",https://navoria.de/praxis/erfurt/praxis-fuer-allgemeinmedizin-wolfgang-arand-phytEU,0.907,0.598,SAFE
/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,https://rzte-online.vercel.app/hausarzt/ravensburg/dr-med-ingrid-schubert-ravensburg,ingrid schubert ravensburg,ravensburg,hausarzt,,,,,,UNMATCHED
/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,https://rzte-online.vercel.app/hausarzt/crailsheim/herr-dr-gerhard-slavetinsky,gerhard slavetinsky,crailsheim,hausarzt,,,,,,UNMATCHED
/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,https://rzte-online.vercel.app/hausarzt/hueckelhoven/hausarztpraxis-baal-hckelhoven,baal hueckelhoven,hueckelhoven,hausarzt,,,,,,UNMATCHED
/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,https://rzte-online.vercel.app/hausarzt/holzgerlingen/dr-med-annemarie-trost-holzgerlingen,annemarie trost holzgerlingen,holzgerlingen,hausarzt,,,,,,UNMATCHED
/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,https://rzte-online.vercel.app/hausarzt/delitzsch/dr-med-gerald-eckhardt-delitzsch,gerald eckhardt delitzsch,delitzsch,hausarzt,Chirurgische Praxis Delitzsch,"Ludwig-Jahn-Straße 4, 04509 Delitzsch",https://navoria.de/praxis/delitzsch/chirurgische-praxis-delitzsch-tlsdms,0.594,0.511,REVIEW
/arzt/backnang/martina-aggensteiner-backnang,https://rzte-online.vercel.app/arzt/backnang/martina-aggensteiner-backnang,martina aggensteiner backnang,backnang,arzt,Zahnspange Backnang,"Sulzbacher Str. 49, 71522 Backnang",https://navoria.de/praxis/backnang/zahnspange-backnang-FHA2Qc,0.535,0.430,REVIEW
/hausarzt/ansbach/dr-med-ulrike-may-ansbach,https://rzte-online.vercel.app/hausarzt/ansbach/dr-med-ulrike-may-ansbach,ulrike may ansbach,ansbach,hausarzt,,,,,,UNMATCHED
/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,https://rzte-online.vercel.app/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,dirk harlos frankenbergsachsen,frankenbergsachsen,orthopaede,,,,,,UNMATCHED
/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,https://rzte-online.vercel.app/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,trendelburg hofgeismar,hofgeismar,hausarzt,,,,,,UNMATCHED
/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,https://rzte-online.vercel.app/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,elsbeth brammertz euskirchen,euskirchen,hausarzt,,,,,,UNMATCHED
/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,https://rzte-online.vercel.app/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,dorothee kiwit putzer burgwedel,burgwedel,arzt,,,,,,UNMATCHED
/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,https://rzte-online.vercel.app/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,clemens witzenhausen sondershausen,sondershausen,arzt,,,,,,UNMATCHED
/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,https://rzte-online.vercel.app/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,drcarolin langhanke christina brombacher flensburg,flensburg,arzt,Dr.Carolin Langhanke & Dr. Christina Brombacher,"Apenrader Str. 10, 24939 Flensburg-Klues",https://navoria.de/praxis/flensburg/drcarolin-langhanke-dr-christina-brombacher-1phW1o,0.765,0.741,REVIEW
/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,https://rzte-online.vercel.app/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,bredehorn mayr aschersleben,aschersleben,augenarzt,,,,,,UNMATCHED
/hausarzt/duisburg/herr-matthias-mahle-duisburg,https://rzte-online.vercel.app/hausarzt/duisburg/herr-matthias-mahle-duisburg,matthias mahle duisburg,duisburg,hausarzt,Herr Matthias Mahle,"Königstraße 38, 47051 Duisburg",https://navoria.de/praxis/duisburg/herr-matthias-mahle-Giz2S4,0.872,0.778,SAFE
/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,https://rzte-online.vercel.app/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,oliver fensky herzogenrath,herzogenrath,hausarzt,,,,,,UNMATCHED
/hausarzt/jever/hausarztpraxis-am-schlo-jever,https://rzte-online.vercel.app/hausarzt/jever/hausarztpraxis-am-schlo-jever,schlo jever,jever,hausarzt,Gynäkologische Gemeinschaftspraxis Jever / Wilhelmshaven,"Petersilienstraße 2, 26441 Jever",https://navoria.de/praxis/jever/gynaekologische-gemeinschaftspraxis-jever-wilhelmshaven-TPbFTM,0.596,0.529,REVIEW
/hausarzt/falkensee/hausarztpraxis-daniel-bernau-facharzt-fr-allgemeinmedizin-falkensee,https://rzte-online.vercel.app/hausarzt/falkensee/hausarztpraxis-daniel-bernau-facharzt-fr-allgemeinmedizin-falkensee,daniel bernau falkensee,falkensee,hausarzt,,,,,,UNMATCHED
/hausarzt/dorsten/herr-dr-med-georg-haase-dorsten,https://rzte-online.vercel.app/hausarzt/dorsten/herr-dr-med-georg-haase-dorsten,georg haase dorsten,dorsten,hausarzt,MediDermis Dorsten,"Südwall 15, 46282 Dorsten",https://navoria.de/praxis/dorsten/medidermis-dorsten-_UhvOA,0.579,0.552,REVIEW
/orthopaede/olsberg/dr-med-bernd-j-kamitter-olsberg,https://rzte-online.vercel.app/orthopaede/olsberg/dr-med-bernd-j-kamitter-olsberg,bernd kamitter olsberg,olsberg,orthopaede,,,,,,UNMATCHED
/hausarzt/rottenburg/herr-dr-med-matthias-ehrt-rottenburg,https://rzte-online.vercel.app/hausarzt/rottenburg/herr-dr-med-matthias-ehrt-rottenburg,matthias ehrt rottenburg,rottenburg,hausarzt,Neuro-Praxis Rottenburg Dr.Sigg/ Dr.Freist,"Spiegelgasse 1, 72108 Rottenburg am Neckar",https://navoria.de/praxis/rottenburg-am-neckar/neuro-praxis-rottenburg-drsigg-drfreist-zQkhxg,0.583,0.554,REVIEW
/hausarzt/luenen/herr-dr-med-ulrich-hning-lnen,https://rzte-online.vercel.app/hausarzt/luenen/herr-dr-med-ulrich-hning-lnen,ulrich hning luenen,luenen,hausarzt,Herr Dr. med. Ulrich Hüning,"Altstadtstraße 32, 44534 Lünen",https://navoria.de/praxis/luenen/herr-dr-med-ulrich-huening-9ImhnM,0.695,0.610,REVIEW
/hausarzt/schwerin/herr-dipl-med-karsten-reininghaus-schwerin,https://rzte-online.vercel.app/hausarzt/schwerin/herr-dipl-med-karsten-reininghaus-schwerin,karsten reininghaus schwerin,schwerin,hausarzt,,,,,,UNMATCHED
/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,https://rzte-online.vercel.app/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,rolf wermes ahlen,ahlen,hausarzt,Herr Dr. med. Rolf Wermes,"Alter Hof 5, 59227 Ahlen",https://navoria.de/praxis/ahlen/herr-dr-med-rolf-wermes-_0T6ak,0.872,0.578,SAFE
/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,https://rzte-online.vercel.app/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,christoph reuss freiburg,freiburg,hausarzt,Dr. med. Christoph Reuss,"Urachstraße 1, 79100 Freiburg im Breisgau-Süd",https://navoria.de/praxis/freiburg-im-breisgau/dr-med-christoph-reuss--zyR6s,0.872,0.778,SAFE
/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,https://rzte-online.vercel.app/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,jan wacker eggenfelden,eggenfelden,augenarzt,,,,,,UNMATCHED
/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,https://rzte-online.vercel.app/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,antje rahrisch dresden,dresden,hausarzt,Frau Dr. med. Antje Rahrisch,"Blochmannstraße 24, 01069 Dresden-Altstadt",https://navoria.de/praxis/dresden/frau-dr-med-antje-rahrisch-lkJiWU,0.907,0.626,SAFE
/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,https://rzte-online.vercel.app/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,rdiger werner fass gelnhausen,gelnhausen,hausarzt,,,,,,UNMATCHED
/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,https://rzte-online.vercel.app/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,thomas morgner freiberg,freiberg,arzt,,,,,,UNMATCHED
/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,https://rzte-online.vercel.app/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,christian schweinberger burghausen,burghausen,hausarzt,,,,,,UNMATCHED
/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,https://rzte-online.vercel.app/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,kian tajrobehkar geilenkirchen,geilenkirchen,arzt,,,,,,UNMATCHED
/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,jrgen schulze annaberg buchholz,annaberg-buchholz,arzt,,,,,,UNMATCHED
/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,mario meinig annaberg buchholz,annaberg-buchholz,arzt,,,,,,UNMATCHED
/hausarzt/geseke/frau-dr-med-ulrike-kleine-geseke,https://rzte-online.vercel.app/hausarzt/geseke/frau-dr-med-ulrike-kleine-geseke,ulrike kleine geseke,geseke,hausarzt,Orthopädie und Unfallchirurgie Geseke - Ammar Dabelah,"Hellweg 2, 59590 Geseke",https://navoria.de/praxis/geseke/orthopaedie-und-unfallchirurgie-geseke-ammar-dabelah-tWM6Vk,0.510,,REVIEW
/orthopaede/frankenbergsachsen/drmed-ellen-barth-frankenbergsachsen,https://rzte-online.vercel.app/orthopaede/frankenbergsachsen/drmed-ellen-barth-frankenbergsachsen,ellen barth frankenbergsachsen,frankenbergsachsen,orthopaede,,,,,,UNMATCHED
/hausarzt/lehrte/dr-med-martin-schick-lehrte,https://rzte-online.vercel.app/hausarzt/lehrte/dr-med-martin-schick-lehrte,martin schick lehrte,lehrte,hausarzt,KRH Klinikum Lehrte,"Manskestraße 22, 31275 Lehrte",https://navoria.de/praxis/lehrte/krh-klinikum-lehrte-k8Qrc0,0.526,0.370,REVIEW
/hausarzt/bochum/herr-dr-med-clemens-seifert-bochum,https://rzte-online.vercel.app/hausarzt/bochum/herr-dr-med-clemens-seifert-bochum,clemens seifert bochum,bochum,hausarzt,Herr Dr. med. Clemens Seifert,"Kemnader Str. 316, 44797 Bochum Süd",https://navoria.de/praxis/bochum/herr-dr-med-clemens-seifert-aR5Szo,0.872,0.610,SAFE
/hausarzt/erlangen/drmed-christian-dbig-erlangen,https://rzte-online.vercel.app/hausarzt/erlangen/drmed-christian-dbig-erlangen,christian dbig erlangen,erlangen,hausarzt,Dr.med. Christian Döbig,"Hilpertstraße 23, 91052 Erlangen",https://navoria.de/praxis/erlangen/drmed-christian-doebig-a1NHSI,0.689,0.610,REVIEW
/hausarzt/berlin/dr-mehdi-rafii-berlin,https://rzte-online.vercel.app/hausarzt/berlin/dr-mehdi-rafii-berlin,mehdi rafii berlin,berlin,hausarzt,Dentalpraxis-Berlin - Zahnarztpraxis,"Fuggerstraße 35, 10777 Berlin",https://navoria.de/praxis/berlin/dentalpraxis-berlin-zahnarztpraxis-mOyOis,0.601,0.598,REVIEW
/hausarzt/jena/praxis-dr-med-karsten-gneist-jena,https://rzte-online.vercel.app/hausarzt/jena/praxis-dr-med-karsten-gneist-jena,karsten gneist jena,jena,hausarzt,Praxis Dr. med. Karsten Gneist,"Wilhelm-Külz-Straße 7, 07743 Jena",https://navoria.de/praxis/jena/praxis-dr-med-karsten-gneist-2ErPAY,0.872,0.568,SAFE
/arzt/schwalmstadt/drmed-frank-hellmann-schwalmstadt,https://rzte-online.vercel.app/arzt/schwalmstadt/drmed-frank-hellmann-schwalmstadt,frank hellmann schwalmstadt,schwalmstadt,arzt,,,,,,UNMATCHED
/hausarzt/siegen/dr-med-martin-mansfeld-siegen,https://rzte-online.vercel.app/hausarzt/siegen/dr-med-martin-mansfeld-siegen,martin mansfeld siegen,siegen,hausarzt,Dr. med. Martin Mansfeld,"Häuslingstraße 22, 57074 Siegen",https://navoria.de/praxis/siegen/dr-med-martin-mansfeld-byTxlg,0.872,0.716,SAFE
/kinderarzt/erbach/frau-dr-med-romy-schreck-erbach,https://rzte-online.vercel.app/kinderarzt/erbach/frau-dr-med-romy-schreck-erbach,romy schreck erbach,erbach,kinderarzt,Praxis Dr. Schwarz – Augenärzte in Erbach,"Ehinger Str. 31-33, 89155 Erbach",https://navoria.de/praxis/erbach/praxis-dr-schwarz-augenaerzte-in-erbach-Uyk0-8,0.552,0.547,REVIEW
