source,target,name,status,verified,dedupe_by,match_score,reason
/arzt/munster/dr-susanne-hrter-munster,https://navoria.de/praxis/munster/dr-susanne-haerter-8IoPqI,Dr. Susanne Härter,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/schwalmstadt/drmed-frank-hellmann-schwalmstadt,https://navoria.de/praxis/schwalmstadt/dr-med-frank-hellmann-52lD0s,Dr.med. Frank Hellmann,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/schwedtoder/praxisgemeinschaft-fr-urologie-zenk-roszyk-schwedtoder,https://navoria.de/praxis/schwedt-oder/praxisgemeinschaft-fuer-urologie-zenk-roszyk-YZMp4o,Praxisgemeinschaft für Urologie Zenk & Roszyk,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,https://navoria.de/praxis/sondershausen/dr-clemens-witzenhausen-i8yqLI,Dr. Clemens Witzenhausen,PLACES_IMPORTED_NEW,yes,,0.98,
/arzt/tharandt/myriam-mller-tharandt,https://navoria.de/praxis/tharandt/myriam-mueller-pT_7_g,Myriam Müller,MATCHED_PHASE2,yes,,,street+plz+name
/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,https://navoria.de/praxis/aschersleben/augenarztpraxis-bredehorn-mayr-re4915b,Augenarztpraxis Bredehorn-Mayr,REVIEW_CREATED,yes,,,
/augenarzt/balve/dr-med-theodor-vorhoff-balve,https://navoria.de/praxis/balve/dr-med-theodor-vorhoff-4L_Q4k,Dr. med. Theodor Vorhoff,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,https://navoria.de/praxis/eggenfelden/mvz-simbach-filiale-eggenfelden-bUjgfc,MVZ Simbach - Filiale Eggenfelden,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/frankenbergsachsen/dr-ute-hunger-frankenbergsachsen,https://navoria.de/praxis/frankenberg-sachsen/dr-ute-hunger-f7mTjE,Dr. Ute Hunger,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/frankfurt/dr-med-c-hofmann-frankfurt,https://navoria.de/praxis/frankfurt-am-main/dr-med-c-hofmann-sHk8sU,Dr. med. C. Hofmann,MATCHED_PHASE2,yes,,,street+plz+name
